順位,名前,点数
2560,丸尾カルシウム,88
2424,日本鋳鉄管,88
1453,ロイヤルホテル,88
3366,ルーデン・ホールディングス,88
2519,東部ネットワーク,88
1927,サカイオーベックス,88
496,丸大食品,88
1106,若築建設,88
1952,日本フイルコン,88
2087,日本セラミック,88
2910,エスケイジャパン,88
1291,帝国ホテル,88
2062,プロネクサス,88
1493,あすか製薬,88
1571,エーアンドエーマテリアル,88
2154,南日本銀行,88
669,日立マクセル,88
1728,中京銀行,88
3353,アルファポリス,88
846,黒崎播磨,88
531,南海電気鉄道,88
506,三信電気,87
572,日本電気硝子,87
1764,日本エスリード,87
2986,岡本硝子,87
1821,ディーブイエックス,87
666,スターツコーポレーション,87
2234,アークランドサービス,87
102,三菱マテリアル,87
195,小糸製作所,87
1217,日特建設,87
2661,杉村倉庫,87
1576,健康コーポレーション,87
1099,日本シイエムケイ,87
2734,京極運輸商事,87
1784,日本管理センター,87
2327,東邦レマック,87
653,日本光電工業,87
2617,京都ホテル,87
70,小松製作所,87
1480,鳥居薬品,87
1407,高周波熱錬,87
601,森永製菓,87
1018,ピジョン,87
486,リョービ,87
2648,赤阪鐵工所,87
3383,ポバール興業,87
3444,エクストリーム,87
2266,光村印刷,87
2366,名古屋電機工業,87
1088,エコートレーディング,87
2091,大成ラミック,87
3284,フリークアウト,87
2858,名機製作所,87
2269,東京鋼鐵,87
1810,リックコーポレーション,87
2758,兼松エンジニアリング,87
2017,日本基礎技術,87
3208,中日本鋳工,87
2415,東海リース,87
262,レンゴー,87
3216,不二電機工業,87
2195,テクマトリックス,87
1197,ゲンキー,87
41,中部電力,86
1801,生化学工業,86
2210,伊勢化学工業,86
929,関西アーバン銀行,86
812,コニシ,86
3172,アイロムグループ,86
1789,三協フロンテア,86
2713,ウライ,86
3052,マネーパートナーズグループ,86
564,プレス工業,86
1582,ダイトエレクトロン,86
2088,ビーアールホールディングス,86
2368,京阪神ビルディング,86
3622,今村証券,86
3266,イーター電機工業,86
2178,リソー教育,86
3354,大盛工業,86
1382,芦森工業,86
1388,日本電波工業,86
1259,日本食品化工,86
212,タカタ,86
1663,日本ケミファ,86
848,菱洋エレクトロ,86
777,ナカノフドー建設,86
1568,建設技術研究所,86
679,堀場製作所,86
2511,クニミネ工業,86
1750,アルファグループ,86
1179,福島工業,86
3453,五洋インテックス,86
1681,カンダホールディングス,86
283,バローホールディングス,86
1406,栗林商船,86
3136,パシフィックネット,86
2416,京都きもの友禅,86
107,花王,86
2741,大幸薬品,86
2498,うかい,86
1636,リーガルコーポレーション,86
1519,愛知時計電機,86
2742,大宝運輸,86
1057,高圧ガス工業,86
3209,夢テクノロジー,86
1729,扶桑化学工業,86
2900,アイル,86
1198,京三製作所,86
3616,クラウドワークス,86
2957,ネクスグループ,85
1840,群栄化学工業,85
3636,カブドットコム証券,85
3226,環境管理センター,85
2149,九州リースサービス,85
2847,昭和化学工業,85
2127,ゴールドクレスト,85
2126,日本フェンオール,85
1147,神鋼環境ソリューション,85
