順位,名前,点数
586,沖縄電力,82
587,アダストリア,56
588,ＡＯＫＩホールディングス,38
589,大氣社,68
590,日立国際電気,81
591,エレマテック,106
592,日本調剤,57
593,昭和電線ホールディングス,60
594,共英製鋼,47
595,昭光通商,72
596,ＴＳＩホールディングス,41
597,吉野家ホールディングス,48
598,三機工業,96
599,松田産業,43
600,アルバック,132
601,森永製菓,87
602,コロワイド,116
603,淀川製鋼所,50
604,エフテック,62
605,タカラスタンダード,91
606,ベスト電器,63
607,住友倉庫,45
608,ＤＭＧ森精機,66
609,シダックス,84
610,日本電設工業,82
611,八十二銀行,58
612,日本空港ビルデング,80
613,マルイチ産商,63
614,ガンホー・オンライン・エンターテイメント,63
615,ネクソン,70
616,イオン北海道,58
617,古河機械金属,92
618,トーメンデバイス,40
619,山陽特殊製鋼,75
620,日産化学工業,82
621,三井倉庫ホールディングス,69
622,ニッコンホールディングス,81
623,倉敷紡績,95
624,エイベックス・グループ・ホールディングス,67
625,ケーヨー,90
626,大建工業,94
627,丸善ＣＨＩホールディングス,67
628,ダスキン,75
629,スクウェア・エニックス・ホールディングス,60
630,日油,122
631,三洋化成工業,76
632,フィード・ワン,21
633,パーク２４,110
634,ジョイフル本田,53
635,静岡ガス,70
636,オークマ,70
637,ＴＰＲ,1
638,東京製鐵,51
639,フジテック,66
640,大紀アルミニウム工業所,64
641,マックスバリュ中部,84
642,エフピコ,132
643,サンエー,32
644,アドバンテスト,34
645,スカパーＪＳＡＴホールディングス,58
646,やまや,20
647,大日精化工業,74
648,ミニストップ,28
649,日本化薬,101
650,参天製薬,56
651,ベルク,183
652,日本オラクル,90
653,日本光電工業,87
654,サンケン電気,121
655,リロ・ホールディング,76
656,ジューテックホールディングス,77
657,ウシオ電機,70
658,カゴメ,83
659,ユニチカ,57
660,日本道路,105
661,山口フィナンシャルグループ,72
662,ニチアス,15
663,武蔵精密工業,52
664,ＮＳユナイテッド海運,50
665,井関農機,103
666,スターツコーポレーション,87
667,久光製薬,47
668,常陽銀行,61
669,日立マクセル,88
670,ユーシン,40
671,ガリバーインターナショナル,84
672,ワタミ,10
673,米久,122
674,中部飼料,103
675,島忠,46
676,ＧＳＩクレオス,75
677,エフ・シー・シー,50
678,キタムラ,132
679,堀場製作所,86
680,ミツミ電機,75
681,ホッカンホールディングス,84
682,丸一鋼管,91
683,プレナス,50
684,エヌ・ティ・ティ都市開発,44
685,ロート製薬,82
686,キユーソー流通システム,74
687,ヨロズ,83
688,鉄建建設,111
689,トーカン,82
690,クレハ,166
691,西日本シティ銀行,61
692,タカラトミー,101
693,タマホーム,22
694,ダイドードリンコ,108
695,牧野フライス製作所,65
696,中山製鋼所,76
697,東亞合成,28
698,トーモク,70
699,東洋建設,53
700,富士ソフト,34
701,ＩＪＴテクノロジーホールディングス,59
702,ホシデン,47
703,日本曹達,31
704,マックスバリュ九州,83
705,立花エレテック,80
706,ＳＡＮＫＹＯ,1
707,サカタインクス,95
708,福田組,122
709,メディアスホールディングス,55
710,アース製薬,48
711,新光商事,73
712,中電工,62
713,明和産業,30
714,住友電設,38
715,日産東京販売ホールディングス,66
716,北洋銀行,90
717,アイカ工業,97
718,第一実業,35
719,日立キャピタル,80
720,ネットワンシステムズ,42
721,チヨダ,16
722,新光電気工業,92
723,千趣会,70
724,ディー・エヌ・エー,40
725,横浜冷凍,73
726,ＳＢＳホールディングス,47
727,グンゼ,50
728,サーラコーポレーション,90
729,内田洋行,57
730,サイゼリヤ,56
731,アーレスティ,46
732,大豊建設,60
733,イーグル工業,94
734,日立工機,98
735,ＶＴホールディングス,46
736,小野薬品工業,78
737,名村造船所,52
738,クスリのアオキ,84
739,ダイキョーニシカワ,85
740,大水,35
741,第一興商,63
742,大黒天物産,93
743,日本無線,46
744,サンゲツ,40
745,西華産業,55
746,高砂香料工業,77
747,スルガ銀行,101
748,伯東,74
749,ユナイテッドアローズ,57
750,フジシールインターナショナル,83
751,三櫻工業,58
752,群馬銀行,78
753,中央物産,67
754,あおぞら銀行,92
755,佐鳥電機,105
756,日本冶金工業,85
757,日機装,62
758,広島銀行,93
759,テレビ東京ホールディングス,65
760,文化シヤッター,102
761,トプコン,70
762,西松屋チェーン,37
763,小林製薬,95
764,十六銀行,91
765,ぴあ,115
766,日医工,58
767,淺沼組,48
768,青木あすなろ建設,74
769,東都水産,32
770,ディスコ,62
771,日本瓦斯,68
772,ヒロセ電機,110
773,合同製鐵,35
774,カナモト,72
775,日鉄鉱業,58
776,シロキ工業,97
777,ナカノフドー建設,86
778,ロイヤルホールディングス,73
779,東芝機械,100
780,中国銀行,94
781,伊予銀行,60
782,日本ケミコン,103
783,日本プラスト,90
784,デサント,32
785,インターネットイニシアティブ,54
786,東洋鋼鈑,53
787,トナミホールディングス,52
788,マブチモーター,67
789,ダイヘン,32
790,カナデン,82
791,エスビー食品,61
792,イエローハット,55
793,ダイダン,60
794,東邦亜鉛,32
795,ベルーナ,75
796,東プレ,68
797,リゾートトラスト,93
798,ドトール・日レスホールディングス,70
799,関西スーパーマーケット,83
